final_coverage,steps_taken,rovers_alive,n_rovers,energy_used,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.6288,250,4,4,394.840200000001,0.0015925430085386401,frontier,5,48,250,40,0.0
0.8641304347826086,250,4,4,394.30160000000126,0.0021915468635750044,frontier,6,48,250,40,0.0
0.6966773847802786,250,4,4,394.59760000000114,0.001765538829380302,frontier,7,48,250,40,0.0
0.6057142857142858,250,3,4,447.63060000000127,0.001353156566406059,frontier,0,48,250,40,0.25
0.4997355896351137,250,3,4,447.3704000000014,0.0011170510825819326,frontier,1,48,250,40,0.25
0.6719955898566703,250,3,4,448.82600000000116,0.0014972296387835565,frontier,2,48,250,40,0.25
0.6182092555331992,250,3,4,448.6720000000013,0.0013778645770923914,frontier,3,48,250,40,0.25
0.6893095768374164,250,3,4,446.85560000000135,0.0015425779084729258,frontier,4,48,250,40,0.25
0.6288,250,3,4,451.2402000000011,0.0013934928669919002,frontier,5,48,250,40,0.25
0.8325098814229249,250,3,4,449.4590000000013,0.0018522487733540155,frontier,6,48,250,40,0.25
0.6730975348338692,250,3,4,448.3408000000012,0.0015013077882581006,frontier,7,48,250,40,0.25
0.8275324675324676,250,4,4,396.0232000000003,0.0020896060320013243,potential_field,0,48,250,6,0.0
0.8164992067689053,250,4,4,394.78640000000047,0.0020682050009040442,potential_field,1,48,250,6,0.0
0.7552370452039692,250,4,4,395.62080000000054,0.0019089922602754156,potential_field,2,48,250,6,0.0
0.42857142857142855,250,4,4,396.2302000000003,0.0010816223209927668,potential_field,3,48,250,6,0.0
0.4615812917594655,250,4,4,395.66240000000045,0.00116660388189392,potential_field,4,48,250,6,0.0
0.18346666666666667,250,4,4,394.2126000000005,0.0004654003110673439,potential_field,5,48,250,6,0.0
0.7618577075098815,250,4,4,395.7038,0.001925323202632579,potential_field,6,48,250,6,0.0
0.8188638799571275,250,4,4,393.98780000000045,0.002078399077223017,potential_field,7,48,250,6,0.0
0.8275324675324676,250,3,4,464.71320000000037,0.0017807380283849628,potential_field,0,48,250,6,0.25
0.6589106292966684,250,3,4,453.0444000000005,0.0014544062994635133,potential_field,1,48,250,6,0.25
0.7552370452039692,250,3,4,480.9262000000005,0.0015703803311276623,potential_field,2,48,250,6,0.25
0.42706237424547283,250,3,4,479.0030000000003,0.000891565134760059,potential_field,3,48,250,6,0.25
0.4615812917594655,250,3,4,485.21040000000045,0.0009513013153870261,potential_field,4,48,250,6,0.25
0.18346666666666667,250,3,4,447.6126000000006,0.00040987824441641367,potential_field,5,48,250,6,0.25
0.7618577075098815,250,3,4,496.56540000000007,0.0015342545161420456,potential_field,6,48,250,6,0.25
0.8183279742765274,250,3,4,476.2044000000004,0.001718438498839,potential_field,7,48,250,6,0.25
0.4841558441558442,250,4,4,394.9640000000004,0.0012258227184144472,potential_field,0,48,250,16,0.0
0.4188260179799048,250,4,4,396.46700000000016,0.0010563956596132962,potential_field,1,48,250,16,0.0
0.47078280044101434,250,4,4,394.57340000000045,0.0011931437862790898,potential_field,2,48,250,16,0.0
0.7203219315895373,250,4,4,395.7630000000004,0.0018200840694798063,potential_field,3,48,250,16,0.0
0.3724944320712695,250,4,4,394.9996000000006,0.0009430248336232971,potential_field,4,48,250,16,0.0
