seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve_fraction,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,solar_rate,resume_charge_fraction,prior_body,max_slope_deg,condition,split
300048,success,True,8.001425084760756,10.671839827785096,4,5,1156.472063117763,1089.281774503176,112.80971138540914,2.592249012397063,684,537.7716446627552,108,2,0.18319788875663987,481,287992,0.010702805280397576,11,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300049,success,True,11.042168137368588,11.042168137368588,5,5,457.01934407568024,370.5884219471705,93.56907787148874,93.58907787148874,230,252.2081528017136,5,0,0.17829782120853307,141,152931,0.023779283295487064,2,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300050,success,True,7.0366299240235195,9.816771534281294,4,5,421.0094347240792,354.3788150704545,113.36938034637211,27.73602375995792,232,193.82337649086298,30,0,0.25570345508335596,234,151942,0.02752412190805298,8,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300051,success,True,9.60949508362769,9.60949508362769,5,5,339.76753382929894,286.1472820566239,126.37974822732365,117.63465777720324,181,207.23759005323615,0,0,0.1588172141149054,120,101616,0.0420535763401898,3,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300052,success,True,9.314484865889291,9.314484865889291,5,5,338.5504837952907,257.7546614012534,99.20417760596258,99.22417760596258,162,191.23759005323592,0,0,0.16800928570074097,91,52583,0.01763614792794499,0,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300053,energy_exhausted,False,6.053274521393876,8.953872623277555,3,5,315.48227827645144,135.7184732194622,0.23619494301015112,0.2561949430101511,93,104.63961030678921,1,2,0.23679999461820503,96,68513,0.029492625986420662,3,20.615528128088304,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300004,success,True,9.566520051998763,9.566520051998763,5,5,480.5535243812823,409.02081156270367,108.46728718141928,62.29638049669675,262,264.4924240491756,15,0,0.17284257471732617,186,29095,0.04739922548356157,10,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300005,success,True,7.645177080651701,9.494096489882416,4,5,577.87517111791,510.2212092005682,112.34603808265351,3.5057184355513384,324,225.48023074035535,61,0,0.2036135680905076,218,20773,0.09559055975184438,9,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300006,success,True,2.86402038387253,13.045709179614112,1,5,255.81359484823264,189.0956984830584,113.2821036348268,82.0794651276423,122,109.74011537017755,10,0,0.20627452231627752,171,32936,0.041839937161964214,8,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300007,success,True,2.8286599686881666,10.785657572488358,1,5,240.43505637443195,172.22662225679736,111.79156588236624,36.024350085454664,110,67.94112549695424,24,0,0.2541645388878335,131,16463,0.17995255756266282,4,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300008,success,True,12.64775827220025,12.64775827220025,5,5,422.14678207113366,318.46004248855667,76.3132604174214,40.75337943569219,202,193.2792206135789,21,1,0.23287204206708842,121,10369,0.028031495515747462,2,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300009,timeout,False,5.614202853445617,11.094838029729628,2,5,240.810999854465,240.81099985446443,180.0,93.38938693756867,800,67.76955262170044,660,0,0.27065882954225023,802,42390,0.023966637792638634,83,24.596747752497688,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300010,success,True,3.70198829119166,8.76540533893193,2,5,301.72897626729144,236.012080261075,114.2831039937822,59.39114111591847,150,130.12489168102778,17,0,0.2023945052406594,179,26435,0.030572951182408437,6,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300011,success,True,8.94662771434211,11.69445432187878,4,5,481.8790412933495,414.28324562151437,112.40420432816217,54.24075616628767,264,231.96551211459402,30,0,0.19081978604708633,237,26548,0.05817686821726553,7,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300012,success,True,9.121515229397556,10.166039447432212,4,5,437.27477286877036,369.2734685618674,111.99869569309557,58.49219824707876,234,193.09545442950503,31,0,0.2038164650975128,171,17623,0.018812494289080717,4,0.0,moon,astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
