corrected,seed,cls,n,mean,sd,truth,covered,abs_error
True,200005,3,1,0.16339944543796378,0.02534193572443327,0.06,False,0.10339944543796378
True,200006,0,4,0.14142485841925276,0.02060293029002796,0.12,True,0.021424858419252762
True,200006,1,11,0.13622761329545938,0.02082656731585648,0.14,True,0.0037723867045406367
True,200006,2,9,0.5976032991701713,0.03778114718967577,0.62,True,0.022396700829828697
True,200007,0,186,0.12641302673811788,0.0031916059170533323,0.12,False,0.0064130267381178885
True,200007,1,8,0.17204449553458645,0.02393943216923862,0.14,True,0.03204449553458644
True,200007,2,14,0.4065771957776757,0.03242923191383738,0.62,False,0.2134228042223243
True,200007,3,9,0.0985848085954436,0.009123378744084386,0.06,False,0.038584808595443595
True,200007,4,5,0.21684491328809405,0.04036877063032665,0.26,True,0.04315508671190596
True,200008,0,4,0.10982240996775941,0.02060293029002796,0.12,True,0.010177590032240585
True,200008,1,11,0.18610747052769938,0.02082656731585648,0.14,False,0.04610747052769937
True,200008,2,20,0.589468464373295,0.028270025026747567,0.62,True,0.030531535626704964
True,200009,0,12,0.1603605914102558,0.012339607067981777,0.12,False,0.0403605914102558
True,200009,1,1,0.3994242773343542,0.04784396625654424,0.14,False,0.2594242773343542
True,200009,2,63,0.6053370907953052,0.01713985609608012,0.62,True,0.014662909204694818
True,200009,3,1,0.5407757138903052,0.02534193572443327,0.06,False,0.4807757138903052
True,200009,4,2,0.40380018801315076,0.050286612029378855,0.26,False,0.14380018801315075
True,200010,0,16,0.1368808607762997,0.010737628291753351,0.12,True,0.016880860776299716
True,200010,1,74,0.12980876127601354,0.008428129610187601,0.14,True,0.010191238723986473
True,200010,2,5,0.472737120595975,0.044707277277780184,0.62,False,0.147262879404025
True,200010,3,6,0.11189632465585479,0.01111613204393029,0.06,False,0.051896324655854795
True,200010,4,4,0.18537963439325195,0.04299706670747858,0.26,True,0.07462036560674806
True,200011,0,128,0.12404529418624748,0.003845123756498926,0.12,True,0.004045294186247481
True,200011,1,5,0.13919849128195638,0.02905802075764353,0.14,True,0.0008015087180436309
True,200011,2,3,0.4722382717468458,0.04998819026136159,0.62,False,0.1477617282531542
True,200011,3,5,0.05530509421943157,0.012139668310623762,0.06,True,0.0046949057805684286
True,200011,4,4,0.27764200971998015,0.04299706670747858,0.26,True,0.017642009719980145
True,200012,1,6,0.13219267404805643,0.027005530521357936,0.14,True,0.007807325951943583
True,200012,2,5,0.5513629716840651,0.044707277277780184,0.62,True,0.06863702831593488
True,200012,3,1,0.6167951622949529,0.02534193572443327,0.06,False,0.556795162294953
True,200013,0,30,0.12327345710442449,0.007894933211718707,0.12,True,0.0032734571044244903
True,200013,1,16,0.1116244855585051,0.01756871296869198,0.14,True,0.028375514441494915
True,200013,2,3,0.514302882100841,0.04998819026136159,0.62,False,0.10569711789915903
True,200013,3,1,0.15681316557411645,0.02534193572443327,0.06,False,0.09681316557411646
True,200013,4,2,0.2529965359612567,0.050286612029378855,0.26,True,0.007003464038743301
True,200014,0,15,0.10546591163556382,0.011079135028728773,0.12,True,0.014534088364436176
True,200014,1,10,0.16318412611930605,0.021725613235654726,0.14,True,0.023184126119306037
True,200014,2,2,0.5162889463239478,0.05344262841549522,0.62,True,0.10371105367605216
True,200014,3,1,0.19334317694154593,0.02534193572443327,0.06,False,0.13334317694154593
True,200014,4,1,0.24385206072570512,0.05566504597084943,0.26,True,0.016147939274294892
True,200015,0,238,0.12431176217577297,0.002822267072602206,0.12,True,0.004311762175772976
True,200015,1,18,0.1666038059043414,0.01663540995955557,0.14,True,0.026603805904341388
True,200015,2,18,0.45985012150236315,0.029473861165587995,0.62,False,0.16014987849763684
True,200015,3,10,0.13543861446947184,0.008664216419129867,0.06,False,0.07543861446947184
True,200015,4,3,0.2080826763541727,0.04621612909881259,0.26,True,0.051917323645827296
True,200016,0,16,0.11688138793342939,0.010737628291753351,0.12,True,0.003118612066570603
True,200016,1,2,0.31151151039989367,0.04004080554644994,0.14,False,0.17151151039989365
True,200016,2,8,0.4251475309671568,0.03920802749062252,0.62,False,0.1948524690328432
True,200016,3,2,0.07740909684859447,0.018685133104463177,0.06,True,0.01740909684859447
True,200016,4,4,0.25381053400043296,0.04299706670747858,0.26,True,0.006189465999567045
True,200017,0,16,0.1565130023940547,0.010737628291753351,0.12,False,0.036513002394054694
True,200017,1,1,0.39011988159719074,0.04784396625654424,0.14,False,0.25011988159719073
True,200017,2,35,0.624006235402034,0.02234836214970239,0.62,True,0.004006235402034042
True,200017,3,1,0.7182486355933871,0.02534193572443327,0.06,False,0.6582486355933872
True,200017,4,3,0.38127424533535786,0.04621612909881259,0.26,False,0.12127424533535786
True,200018,0,11,0.14439412942507565,0.012866056404886838,0.12,True,0.024394129425075656
True,200018,1,3,0.14884268042963686,0.03512362530547675,0.14,True,0.008842680429636846
True,200018,2,7,0.4953395545600807,0.04080983238041461,0.62,False,0.12466044543991928
True,200018,3,1,0.6003539375624314,0.02534193572443327,0.06,False,0.5403539375624313
True,200018,4,4,0.26699638020412225,0.04299706670747858,0.26,True,0.006996380204122243
True,200019,0,6,0.11230678569594982,0.017127885284754323,0.12,True,0.007693214304050178
True,200019,1,2,0.5032302046054413,0.04004080554644994,0.14,False,0.3632302046054413
True,200019,2,23,0.6092291121503707,0.026712302484075516,0.62,True,0.010770887849629318
True,200019,3,2,0.3756381816598275,0.018685133104463177,0.06,False,0.3156381816598275
True,200020,0,124,0.11808051612403332,0.003906416761967021,0.12,True,0.0019194838759666738
True,200020,1,3,0.2866856482293701,0.03512362530547675,0.14,False,0.14668564822937008
True,200020,2,6,0.47663124388436423,0.04262549635118808,0.62,False,0.14336875611563576
True,200020,3,4,0.052395584086159096,0.01351048374894283,0.06,True,0.007604415913840902
True,200020,4,2,0.2237600441974172,0.050286612029378855,0.26,True,0.036239955802582796
True,200021,0,16,0.17174290324754268,0.010737628291753351,0.12,False,0.05174290324754269
True,200021,1,242,0.1404827857958977,0.004689570128703813,0.14,True,0.00048278579589769444
True,200021,2,20,0.3472333440380416,0.028270025026747567,0.62,False,0.27276665596195837
True,200021,3,6,0.2257342210326586,0.01111613204393029,0.06,False,0.1657342210326586
True,200021,4,5,0.20878663524303168,0.04036877063032665,0.26,True,0.05121336475696833
True,200022,0,19,0.11449989253041767,0.009876022926042267,0.12,True,0.0055001074695823216
True,200022,2,12,0.5493535681024999,0.03428447207347255,0.62,False,0.07064643189750008
True,200022,3,2,0.346673789431642,0.018685133104463177,0.06,False,0.286673789431642
True,200022,4,3,0.34950469098765946,0.04621612909881259,0.26,True,0.08950469098765945
True,200023,0,220,0.12332586041492316,0.0029352146833155485,0.12,True,0.003325860414923165
True,200023,1,2,0.1255043595908657,0.04004080554644994,0.14,True,0.014495640409134314
True,200023,2,12,0.46222109092448155,0.03428447207347255,0.62,False,0.15777890907551845
True,200023,3,4,0.07180716946405105,0.01351048374894283,0.06,True,0.011807169464051054
True,200023,4,7,0.24413311788150086,0.03629562783565565,0.26,True,0.015866882118499154
True,200024,0,202,0.1254240457211811,0.0030629073083098105,0.12,True,0.005424045721181103
True,200024,1,3,0.1595714535049923,0.03512362530547675,0.14,True,0.019571453504992287
True,200024,2,14,0.4067721067056965,0.03242923191383738,0.62,False,0.21322789329430347
True,200024,3,9,0.12448410582971885,0.009123378744084386,0.06,False,0.06448410582971885
True,200024,4,9,0.1789437016303542,0.03324957557202713,0.26,False,0.08105629836964581
True,200025,0,18,0.10895840681632547,0.010139783326353983,0.12,True,0.011041593183674522
True,200025,1,12,0.13567475356366399,0.020030627603103552,0.14,True,0.004325246436336028
True,200025,2,15,0.5340814167859972,0.03160784362262902,0.62,False,0.08591858321400281
True,200025,3,1,0.5101660201950949,0.02534193572443327,0.06,False,0.45016602019509494
True,200026,1,11,0.1435212418628804,0.02082656731585648,0.14,True,0.0035212418628803865
