seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,prior_body,max_slope_deg,condition,split
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,236.42256636467891,43.43500134428548,220.3457683129391,193.59285954096563,180,28.72792206135786,78,1,0.2703011214013949,98,3138,0.024261164834496474,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400001,timeout,False,1.8472381300983158,6.878417360830329,1,3,417.92778263417733,41.626371721520435,37.031922420672664,13.804577613962334,180,38.62741699796952,74,1,0.3175511240824656,95,5597,0.023254886756310822,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400002,immobilized,False,1.9161997305194356,5.024578748331417,1,3,408.75693022619186,14.263570804127474,18.839973911268455,14.270515642937475,51,34.38477631085024,10,6,0.4802591058222503,36,8908,0.10651935745852403,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400003,timeout,False,1.137787667753198,5.008044798502872,1,3,410.15480337258737,53.200582324507344,56.37911228524951,22.99697736370333,180,48.87005768508879,69,1,0.23438187819531364,105,10696,0.027410590229193454,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400000,timeout,False,2.670109748863812,6.284689184666288,1,3,330.61372925080843,42.27768779564219,124.99729187816466,95.93926743062904,180,10.828427124746192,84,3,0.28763911842629025,110,548,0.02970921252472447,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,360.55277029904795,3.4649568552290546,56.245519889514604,56.26551988951461,13,11.65685424949238,0,2,0.4438567891559777,16,410,0.02600479752709306,0,6.324555320336759,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400002,immobilized,False,1.9161997305194356,5.024578748331417,1,3,368.6391268391422,40.37306753312444,85.06727402731212,58.10747024415971,141,23.656854249492383,59,17,0.6417290978274524,81,993,0.15518871826858616,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,413.6448889919769,7.337192533021385,7.025636874377891,7.045636874377891,30,28.899494936611667,0,2,0.34733879546537144,27,1022,0.021952595867875013,1,8.06225774829855,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,387.1334770605718,43.93783587794798,70.13769215070589,44.21598171548112,180,33.55634918610404,75,2,0.28893975118618503,97,3000,0.02299834050064431,0,0.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,318.02737517442614,7.528739601753279,102.83469776066067,102.85469776066067,27,28.72792206135786,0,1,0.3128839303788171,20,5671,0.028089127046970974,0,6.324555320336759,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,413.975207506363,7.768236796340189,7.126362623310594,7.146362623310593,30,29.556349186104054,0,3,0.41135326033399544,27,8753,0.028219385535130592,1,2.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,420.62810600545504,7.867798230705085,0.5730255585832735,0.5930255585832735,32,29.89949493661167,0,3,0.36073282176978694,33,9423,0.025355986553031062,1,7.0710678118654755,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,mars_ood,ood
300000,success,True,6.41209659271458,6.41209659271458,3,3,159.39043692044456,29.12812524768268,49.73768832723795,49.75768832723795,68,76.18376618407353,0,0,0.20431152593691018,26,6485,0.024793483982041953,2,0.0,moon,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300001,timeout,False,5.216210954869503,7.284732588329378,2,3,211.10515763586906,76.3861656678122,45.28100803194498,5.993361282334003,180,83.49747468305829,55,0,0.22248446186290857,106,17968,0.018175210583896928,3,0.0,moon,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300002,success,True,6.987538699019965,6.987538699019965,3,3,93.88579266277118,19.72693656840192,105.84114390563036,105.86114390563036,47,52.8700576850888,0,0,0.18632987811954002,31,3656,0.015287566611956183,1,0.0,moon,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300003,success,True,7.261290790774693,7.261290790774693,3,3,90.96464018149159,16.68098410696691,105.71634392547497,105.73634392547497,40,49.35533905932736,0,0,0.18844561298680806,21,2160,0.026656416446945497,0,0.0,moon,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300000,success,True,6.41209659271458,6.41209659271458,3,3,179.9352804845185,28.441822489518803,28.506542005000263,28.526542005000262,67,73.69848480983497,0,0,0.234727489428506,26,1280,0.024788141102669914,1,0.0,moon,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300001,energy_exhausted,False,5.216210954869503,7.284732588329378,2,3,204.976677597012,28.56069537567129,3.5840177786593057,3.6040177786593057,70,78.66904755831209,0,0,0.2737695616996226,54,4654,0.02977995463405425,4,7.0710678118654755,moon,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300002,success,True,6.987538699019965,6.987538699019965,3,3,96.33043304660198,18.731769559672017,102.40133651306971,102.4213365130697,45,49.21320343559641,0,0,0.2023541488764088,31,842,0.020768287713444633,1,0.0,moon,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300003,success,True,7.261290790774693,7.261290790774693,3,3,104.77920252024771,17.478659518169128,92.69945699792109,92.71945699792109,42,49.69848480983499,0,0,0.21760900942775224,18,532,0.02565269491772948,0,0.0,moon,astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300000,success,True,6.41209659271458,6.41209659271458,3,3,161.53985316374948,29.62112095070332,48.08126778695367,48.10126778695367,69,75.94112549695426,0,0,0.20803882183390343,26,6817,0.027685448965737214,2,0.0,moon,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300001,timeout,False,5.216210954869503,7.284732588329378,2,3,203.32945299328279,76.24593183153158,52.91647883825044,13.224316840957938,180,82.91168824543138,55,0,0.2112114718740788,104,17683,0.018398260686288803,3,0.0,moon,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300002,success,True,6.987538699019965,6.987538699019965,3,3,93.04140960948457,19.270351155082686,106.22894154559773,106.24894154559773,46,52.284271247461895,0,0,0.18664856633893503,29,4053,0.02834843773136908,1,0.0,moon,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
300003,success,True,7.261290790774693,7.261290790774693,3,3,90.96464018149159,16.68098410696691,105.71634392547497,105.73634392547497,40,49.35533905932736,0,0,0.18844561298680806,21,2342,0.02440042820008026,0,0.0,moon,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,0,10,moon,25.0,moon_id,test
