final_coverage,steps_taken,rovers_alive,n_rovers,energy_spent,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.8041558441558442,250,2,4,789.2051942088835,0.0010189439325243514,potential_field,0,48,250,6,0.5
0.6589106292966684,250,2,4,834.810316630268,0.0007892938265980913,potential_field,1,48,250,6,0.5
0.685226019845645,250,2,4,787.1879502661814,0.0008704732073375124,potential_field,2,48,250,6,0.5
0.42706237424547283,250,2,4,796.3544725075518,0.000536271709381808,potential_field,3,48,250,6,0.5
0.4555844155844156,250,4,4,994.9402589451792,0.0004579012774771215,potential_field,0,48,250,12,0.0
0.629825489159175,250,4,4,995.3036072312179,0.0006327973540769665,potential_field,1,48,250,12,0.0
0.47078280044101434,250,4,4,994.5798692519688,0.0004733484107164704,potential_field,2,48,250,12,0.0
0.8677062374245473,250,4,4,994.0580079512704,0.0008728929604549627,potential_field,3,48,250,12,0.0
0.4555844155844156,250,3,4,873.9402589451792,0.0005212992660783163,potential_field,0,48,250,12,0.25
0.629825489159175,250,3,4,895.3036072312179,0.0007034769926896078,potential_field,1,48,250,12,0.25
0.47078280044101434,250,3,4,918.7098115668798,0.0005124390689134841,potential_field,2,48,250,12,0.25
0.8677062374245473,250,3,4,900.3889603929579,0.0009637015507674075,potential_field,3,48,250,12,0.25
0.4555844155844156,250,2,4,773.5432893255087,0.0005889578797608891,potential_field,0,48,250,12,0.5
0.6049709148598625,250,2,4,772.5046173579944,0.0007831291894783674,potential_field,1,48,250,12,0.5
0.47078280044101434,250,2,4,794.3006486383892,0.0005927010147203612,potential_field,2,48,250,12,0.5
0.8566398390342053,250,2,4,816.4528855298859,0.0010492213993196161,potential_field,3,48,250,12,0.5
0.4841558441558442,250,4,4,994.9696961967019,0.0004866036081365521,potential_field,0,48,250,24,0.0
0.4188260179799048,250,4,4,996.4722215136431,0.0004203087742312649,potential_field,1,48,250,24,0.0
0.47078280044101434,250,4,4,994.5798692519688,0.0004733484107164704,potential_field,2,48,250,24,0.0
0.7203219315895373,250,4,4,995.7665940288708,0.0007233843110513633,potential_field,3,48,250,24,0.0
0.4841558441558442,250,3,4,873.9696961967019,0.0005539732627604477,potential_field,0,48,250,24,0.25
0.4188260179799048,250,3,4,921.5189027078685,0.0004544953085055459,potential_field,1,48,250,24,0.25
0.47078280044101434,250,3,4,918.7098115668798,0.0005124390689134841,potential_field,2,48,250,24,0.25
0.7203219315895373,250,3,4,902.4284989122458,0.0007982038825876919,potential_field,3,48,250,24,0.25
0.4841558441558442,250,2,4,773.5432893255087,0.0006258936646945822,potential_field,0,48,250,24,0.5
0.4188260179799048,250,2,4,767.4722215136431,0.000545721403641004,potential_field,1,48,250,24,0.5
0.47078280044101434,250,2,4,794.3006486383892,0.0005927010147203612,potential_field,2,48,250,24,0.5
0.7203219315895373,250,2,4,806.4284989122458,0.0008932247961984805,potential_field,3,48,250,24,0.5
0.4841558441558442,250,4,4,994.9696961967019,0.0004866036081365521,potential_field,0,48,250,48,0.0
0.4188260179799048,250,4,4,996.4722215136431,0.0004203087742312649,potential_field,1,48,250,48,0.0
0.47078280044101434,250,4,4,994.5798692519688,0.0004733484107164704,potential_field,2,48,250,48,0.0
0.7203219315895373,250,4,4,995.7665940288708,0.0007233843110513633,potential_field,3,48,250,48,0.0
0.4841558441558442,250,3,4,873.9696961967019,0.0005539732627604477,potential_field,0,48,250,48,0.25
0.4188260179799048,250,3,4,921.5189027078685,0.0004544953085055459,potential_field,1,48,250,48,0.25
0.47078280044101434,250,3,4,918.7098115668798,0.0005124390689134841,potential_field,2,48,250,48,0.25
0.7203219315895373,250,3,4,902.4284989122458,0.0007982038825876919,potential_field,3,48,250,48,0.25
0.4841558441558442,250,2,4,773.5432893255087,0.0006258936646945822,potential_field,0,48,250,48,0.5
0.4188260179799048,250,2,4,767.4722215136431,0.000545721403641004,potential_field,1,48,250,48,0.5
0.47078280044101434,250,2,4,794.3006486383892,0.0005927010147203612,potential_field,2,48,250,48,0.5
0.7203219315895373,250,2,4,806.4284989122458,0.0008932247961984805,potential_field,3,48,250,48,0.5
